longitude,latitude,SAUID,SAFIELD000,SAFIELD001,SAFIELD002,SAFIELD003,SAFIELD004,SAFIELD005,SAFIELD006
138.943131,37.8629234,4847,4A386,街区多角点節点,206812.388,38989.824,7.684,38.271, 
138.9443328,37.8726281,4850,4A275,街区多角点節点,207889.943,39090.444,4.21,38.245, 
138.9531843,37.8726256,4851,4A274,街区多角点節点,207893.413,39869.16,19.818,38.255, 
138.9552788,37.8727758,4852,4A273,街区多角点節点,207910.981,40053.346,21.5,38.257, 
138.9448707,37.8729037,4853,4A272,街区多角点節点,207920.757,39137.614,4.659,38.245, 
138.9595558,37.8729249,4855,4A270,街区多角点節点,207929.373,40429.537,22.45,38.262, 
138.9561544,37.8728968,4856,4A269,街区多角点節点,207924.785,40130.314,21.73,38.258, 
138.9567796,37.8731137,4858,4A267,街区多角点節点,207949.126,40185.198,20.022,38.258,撤去及び亡失
138.9462953,37.8733949,4859,4A266,街区多角点節点,207975.879,39262.689,4.059,38.245, 
138.9484235,37.8744339,4864,4A261,街区多角点節点,208092.086,39449.365,8.42,38.244, 
138.9567626,37.8744547,4866,4A259,街区多角点節点,208097.945,40182.977,21.631,38.254,撤去及び亡失
138.9606328,37.8745836,4867,4A258,街区多角点節点,208113.924,40523.376,25.539,38.259, 
138.9502247,37.874648,4869,4A256,街区多角点節点,208116.609,39607.707,10.778,38.245,撤去及び亡失
138.9528717,37.8746388,4870,4A255,街区多角点節点,208116.718,39840.572,13.189,38.249, 
138.9482531,37.8749008,4871,4A254,街区多角点節点,208143.839,39434.121,7.31,38.243, 
138.9594505,37.8749383,4872,4A253,街区多角点節点,208152.786,40419.179,26.348,38.256, 
138.9610697,37.8750972,4874,4A251,街区多角点節点,208171.126,40561.536,25.007,38.258,撤去及び亡失
138.9540155,37.8753516,4875,4A250,街区多角点節点,208196.316,39940.812,6.541,38.248, 
138.9484411,37.8755247,4878,4A247,街区多角点節点,208213.151,39450.323,4.666,38.241, 
138.9489869,37.8756583,4879,4A246,街区多角点節点,208228.203,39498.272,4.081,38.241, 
138.9495838,37.8757095,4880,4A245,街区多角点節点,208234.149,39550.755,3.838,38.242, 
138.9533877,37.8757947,4882,4A243,街区多角点節点,208245.217,39885.344,3.441,38.246, 
138.9540628,37.8759323,4883,4A242,街区多角点節点,208260.785,39944.665,5.111,38.247, 
138.9585572,37.8757744,4884,4A241,街区多角点節点,208245.188,40340.132,23.207,38.253,撤去及び亡失
138.9491215,37.8760601,4886,4A239,街区多角点節点,208272.864,39509.899,4.234,38.24, 
138.9501711,37.8761031,4887,4A238,街区多角点節点,208278.071,39602.214,3.513,38.241, 
138.9564253,37.8762299,4888,4A237,街区多角点節点,208294.825,40152.335,20.198,38.249,撤去及び亡失
138.9582893,37.8762623,4889,4A236,街区多角点節点,208299.223,40316.291,19.689,38.251,撤去及び亡失
138.9597945,37.8764296,4890,4A235,街区多角点節点,208318.447,40448.622,23.686,38.253,撤去及び亡失
138.9504175,37.8764736,4892,4A233,街区多角点節点,208319.308,39623.682,3.352,38.241, 
138.9525494,37.8765924,4893,4A232,街区多角点節点,208333.397,39811.177,3.14,38.243, 
138.955704,37.8764811,4894,4A231,街区多角点節点,208322.39,40088.745,17.346,38.247,撤去及び亡失
138.9610696,37.8766705,4895,4A230,街区多角点節点,208345.739,40560.66,20.38,38.254,撤去及び亡失
138.9489032,37.8765862,4896,4A229,街区多角点節点,208331.151,39490.413,5.564,38.239, 
138.9557676,37.8768472,4897,4A228,街区多角点節点,208363.041,40094.14,15.93,38.246,撤去及び亡失
138.94958,37.877296,4901,4A224,街区多角点節点,208410.229,39549.573,6.269,38.238, 
138.9372557,37.8531983,4324,4A484,街区多角点節点,205730.616,38477.921,2.21,38.294,撤去及び亡失
138.9505858,37.8772144,4903,4A222,街区多角点節点,208401.586,39638.091,4.215,38.239, 
138.9519525,37.8774246,4905,4A220,街区多角点節点,208425.506,39758.211,3.62,38.24, 
138.9555265,37.8773724,4906,4A219,街区多角点節点,208421.23,40072.647,5.712,38.245,撤去及び亡失
138.9502035,37.8775224,4907,4A218,街区多角点節点,208435.615,39604.308,6.548,38.238, 
138.9548108,37.8778192,4908,4A217,街区多角点節点,208470.517,40009.448,4.471,38.243, 
138.9534732,37.8780972,4913,4A212,街区多角点節点,208500.79,39891.627,4.257,38.24, 
138.9555643,37.8781797,4915,4A210,街区多角点節点,208510.842,40075.537,3.071,38.243,撤去及び亡失
138.956424,37.8783935,4917,4A208,街区多角点節点,208534.948,40151.042,2.936,38.243,撤去及び亡失
138.9578353,37.8791467,4923,4A202,街区多角点節点,208619.145,40274.786,3.124,38.243,撤去及び亡失
138.9589912,37.8801776,4929,4A196,街区多角点節点,208734.067,40375.909,7.566,38.241,撤去及び亡失
138.9270219,37.8630165,4935,4A385,街区多角点節点,206816.103,37572.376,3.152,38.255, 
138.9504446,37.8630998,4936,4A384,街区多角点節点,206835.032,39633.237,2.728,38.278, 
138.9461964,37.8630661,4937,4A383,街区多角点節点,206829.5,39259.469,2.61,38.273, 
138.9286041,37.8632684,4938,4A382,街区多角点節点,206844.705,37711.464,2.103,38.255, 
138.9451344,37.8635054,4939,4A381,街区多角点節点,206877.814,39165.799,2.824,38.271, 
138.9579915,37.8688104,4366,4A321,街区多角点節点,207472.057,40294.157,0.802,38.271, 
138.9287303,37.8689232,4368,4A319,街区多角点節点,207472.348,37719.685,10.213,38.24, 
138.9266246,37.8687263,4369,4A318,街区多角点節点,207449.647,37534.525,10.548,38.238, 
138.9596199,37.8688968,4370,4A317,街区多角点節点,207482.348,40437.378,-0.182,38.273, 
