longitude,latitude,SAUID,SAFIELD000,SAFIELD001,SAFIELD002,SAFIELD003,SAFIELD004,SAFIELD005
139.1231217,37.7943013,16849,7A865,補助点,199286.886,54877.627,5.462,撤去及び亡失
139.1245014,37.7942606,16850,7A863,補助点,199283.18,54999.169,5.444,撤去及び亡失
139.1252394,37.7945285,16851,7A862,補助点,199313.355,55063.952,5.639,撤去及び亡失
139.1239701,37.7952833,16852,7A861,補助点,199396.371,54951.611,5.822,撤去及び亡失
139.124655,37.7948544,16853,7A860,補助点,199349.175,55012.247,5.793,撤去及び亡失
139.1250545,37.7952929,16854,7A859,補助点,199398.078,55047.101,6.379, 
139.1258274,37.7959626,16855,7A858,補助点,199472.852,55114.675,6.377, 
139.1260305,37.7961457,16856,7A857,補助点,199493.295,55132.421,7.931,撤去及び亡失
139.1254251,37.7970173,16857,7A856,補助点,199589.679,55078.463,7.445, 
139.1252996,37.7980234,16858,7A855,補助点,199701.267,55066.66,7.931, 
139.1245289,37.7970056,16859,7A854,補助点,199587.849,54999.541,6.723, 
139.1236747,37.7971433,16860,7A853,補助点,199602.626,54924.219,6.415, 
139.1455346,37.7838378,18353,7A976,補助点,198139.015,56859.535,22.847, 
139.1462265,37.7851188,18354,7A975,補助点,198281.598,56919.497,11.197, 
139.1435143,37.786668,18355,7A974,補助点,198451.88,56679.421,14.297, 
139.1445593,37.7882021,18356,7A973,補助点,198622.783,56770.291,7.54, 
139.1439974,37.7876849,18357,7A972,補助点,198565.042,56721.197,7.445, 
139.1435543,37.7875788,18358,7A971,補助点,198552.991,56682.253,7.916, 
139.1421972,37.786836,18359,7A970,補助点,198469.733,56563.281,19.3, 
139.1437054,37.7857687,18360,7A969,補助点,198352.191,56696.946,14.222, 
139.1416621,37.7865289,18361,7A968,補助点,198435.32,56516.38,25.903, 
139.1412256,37.7872118,18362,7A967,補助点,198510.851,56477.423,23.773, 
139.1423525,37.7884793,18363,7A966,補助点,198652.209,56575.715,8.108, 
139.1415548,37.7887095,18364,7A965,補助点,198677.278,56505.272,10.708, 
139.1405068,37.7892693,18365,7A964,補助点,198738.773,56412.543,7.975, 
139.1391774,37.7900774,18366,7A963,補助点,198827.659,56294.845,7.654, 
139.1399091,37.7880424,18367,7A962,補助点,198602.24,56360.838,16.836, 
139.1406609,37.7876413,18368,7A961,補助点,198558.181,56427.35,19.1, 
139.1404236,37.7872718,18369,7A960,補助点,198517.026,56406.73,20.416, 
139.1227147,37.7972275,16528,7A852,補助点,199611.404,54839.611,6.23, 
139.1232436,37.7977635,16529,7A851,補助点,199671.204,54885.795,5.893, 
139.1224785,37.7987697,16530,7A850,補助点,199782.424,54817.679,5.649, 
139.1234922,37.7986089,16531,7A849,補助点,199765.177,54907.063,5.947, 
139.1247276,37.7983991,16532,7A848,補助点,199742.625,55016.013,6.236, 
